Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
21/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
20/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
19/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
18/02/2020;ZELLIDJA S.A;93,00;93,00;93,00;93,00;1000;53274957,00
17/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
14/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
13/02/2020;ZELLIDJA S.A;0,00;93,00;-;-;0;53274957,00
12/02/2020;ZELLIDJA S.A;93,00;93,00;93,00;93,00;4;53274957,00
11/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
10/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
07/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
06/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
05/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
04/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
03/02/2020;ZELLIDJA S.A;0,00;97,00;-;-;0;55566353,00
31/01/2020;ZELLIDJA S.A;97,00;97,00;97,00;97,00;5;55566353,00
30/01/2020;ZELLIDJA S.A;97,00;97,00;97,00;97,00;5;55566353,00
29/01/2020;ZELLIDJA S.A;94,00;94,00;94,00;94,00;10;53847806,00
28/01/2020;ZELLIDJA S.A;0,00;94,00;-;-;0;53847806,00
27/01/2020;ZELLIDJA S.A;0,00;94,00;-;-;0;53847806,00
24/01/2020;ZELLIDJA S.A;94,00;94,00;94,00;94,00;53;53847806,00
23/01/2020;ZELLIDJA S.A;94,01;94,01;94,01;94,01;2;53853534,50
22/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
21/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
20/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
17/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
16/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
15/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
14/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
13/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
10/01/2020;ZELLIDJA S.A;0,00;100,00;-;-;0;57284900,00
09/01/2020;ZELLIDJA S.A;100,00;100,00;100,00;100,00;21;57284900,00
08/01/2020;ZELLIDJA S.A;100,00;100,00;100,00;100,00;12;57284900,00
07/01/2020;ZELLIDJA S.A;0,00;96,98;-;-;0;55554896,00
06/01/2020;ZELLIDJA S.A;0,00;96,98;-;-;0;55554896,00
03/01/2020;ZELLIDJA S.A;0,00;96,98;-;-;0;55554896,00
02/01/2020;ZELLIDJA S.A;96,98;96,98;96,98;96,98;24;55554896,00
31/12/2019;ZELLIDJA S.A;103,15;103,15;103,15;103,15;3;59089374,40
30/12/2019;ZELLIDJA S.A;109,70;109,70;109,70;109,70;5;62841535,30
27/12/2019;ZELLIDJA S.A;116,70;116,70;116,70;116,70;2;66851478,30
26/12/2019;ZELLIDJA S.A;0,00;124,10;-;-;0;71090560,90
25/12/2019;ZELLIDJA S.A;124,10;124,10;124,10;124,10;5;71090560,90
24/12/2019;ZELLIDJA S.A;0,00;132,00;-;-;0;75616068,00
23/12/2019;ZELLIDJA S.A;0,00;132,00;-;-;0;75616068,00
20/12/2019;ZELLIDJA S.A;0,00;132,00;-;-;0;75616068,00
19/12/2019;ZELLIDJA S.A;132,00;132,00;132,00;132,00;5;75616068,00
18/12/2019;ZELLIDJA S.A;133,00;133,00;133,00;133,00;100;76188917,00
17/12/2019;ZELLIDJA S.A;141,00;141,00;141,00;141,00;5;80771709,00
16/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
13/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
12/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
11/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
10/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
09/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
06/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
05/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
04/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
03/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
02/12/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
29/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
28/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
27/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
26/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
25/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
22/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
21/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
20/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
19/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
15/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
14/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
13/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
12/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
08/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
07/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
05/11/2019;ZELLIDJA S.A;0,00;149,95;-;-;0;85898707,60
04/11/2019;ZELLIDJA S.A;149,95;149,95;149,95;149,95;12;85898707,60
01/11/2019;ZELLIDJA S.A;151,95;151,95;151,95;151,95;4;87044405,60
31/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
30/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
29/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
28/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
25/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
24/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
23/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
22/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
21/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
18/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
17/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
16/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
15/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
14/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
11/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
10/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
09/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
08/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
07/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
04/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
03/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
02/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
